antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
alcohol_Low,color_intensity_Low,0.2303370786516854,0.5786516853932584,0.21348314606741572,0.9268292682926829,1.6017049490883257,1.0,0.08019820729705845,5.75842696629213,0.48809066461774875,0.3584905660377358,0.826341463414634,0.6478806535638172
"flavanoids_Low, magnesium_Low",proline_Low,0.28651685393258425,0.601123595505618,0.2752808988764045,0.9607843137254903,1.5983140919919372,1.0,0.10304885746749148,10.171348314606776,0.5246665595372006,0.4495412844036698,0.9016846175089758,0.7093641194795676
"flavanoids_Low, magnesium_Low","proline_Low, alcalinity_of_ash_Medium",0.28651685393258425,0.4550561797752809,0.20786516853932585,0.7254901960784315,1.5942870975550716,1.0,0.0774839035475319,1.9851524879614773,0.5224515854437115,0.38947368421052625,0.4962603598140289,0.5911401597676108
"proline_Low, malic_acid_Low, color_intensity_Low, target_class_1",magnesium_Low,0.25842696629213485,0.5617977528089888,0.2303370786516854,0.8913043478260869,1.5865217391304347,1.0,0.08515338972351974,4.031460674157302,0.498521803399852,0.3904761904761905,0.7519509476031214,0.6506521739130434
"target_class_1, total_phenols_Medium",proline_Low,0.23595505617977527,0.601123595505618,0.2247191011235955,0.9523809523809523,1.5843346684468178,1.0,0.0828809493750789,8.376404494382014,0.48272058823529407,0.36697247706422015,0.8806170355466129,0.6631063640409435
"proline_Low, hue_Medium",color_intensity_Low,0.2696629213483146,0.5786516853932584,0.24719101123595505,0.9166666666666666,1.5841423948220066,1.0,0.09115010730968312,5.056179775280897,0.5048951048951049,0.411214953271028,0.8022222222222222,0.6719255663430421
"target_class_1, total_phenols_Medium, color_intensity_Low",proline_Low,0.2303370786516854,0.601123595505618,0.21910112359550563,0.9512195121951219,1.5824025529974926,1.0,0.08064007069814416,8.176966292134823,0.47819577016657305,0.35779816513761464,0.8777052559257986,0.6578527467517665
"nonflavanoid_phenols_Low, color_intensity_Low",flavanoids_Medium,0.25280898876404495,0.5056179775280899,0.20224719101123595,0.7999999999999999,1.582222222222222,1.0,0.07442242141143793,2.4719101123595495,0.49248120300751874,0.3636363636363637,0.5954545454545453,0.6
"alcalinity_of_ash_Medium, flavanoids_Medium",total_phenols_Medium,0.3089887640449438,0.48314606741573035,0.23595505617977527,0.7636363636363637,1.5805496828752643,1.0,0.08666834995581366,2.1866897147796025,0.5315524583817266,0.4242424242424242,0.5426877470355732,0.6260042283298097
"malic_acid_Low, target_class_0",hue_Medium,0.28651685393258425,0.5955056179775281,0.2696629213483146,0.9411764705882354,1.5804661487236404,1.0,0.09904052518621387,6.876404494382034,0.514763779527559,0.4403669724770642,0.854575163398693,0.6970033296337403
"hue_Low, magnesium_Low",proline_Low,0.21910112359550563,0.601123595505618,0.20786516853932585,0.9487179487179487,1.5782410735681762,1.0,0.0761583133442747,7.7780898876404425,0.46918141162745464,0.33944954128440363,0.87143373058866,0.6472561706206565
"target_class_1, alcohol_Low",proline_Low,0.21348314606741572,0.601123595505618,0.20224719101123595,0.9473684210526315,1.5759960649286766,1.0,0.07391743466733997,7.57865168539325,0.4646825396825396,0.33027522935779813,0.8680504077094142,0.6419085095917363
"color_intensity_Low, alcohol_Low",proline_Low,0.21348314606741572,0.601123595505618,0.20224719101123595,0.9473684210526315,1.5759960649286766,1.0,0.07391743466733997,7.57865168539325,0.4646825396825396,0.33027522935779813,0.8680504077094142,0.6419085095917363
"hue_Medium, flavanoids_Medium, target_class_0",proanthocyanins_Medium,0.2696629213483146,0.47752808988764045,0.20224719101123595,0.75,1.5705882352941176,1.0,0.07347557126625426,2.0898876404494384,0.4974358974358974,0.37113402061855677,0.521505376344086,0.586764705882353
"flavanoids_Medium, target_class_0",proanthocyanins_Medium,0.29213483146067415,0.47752808988764045,0.21910112359550563,0.75,1.5705882352941176,1.0,0.07959853553844212,2.0898876404494384,0.5132275132275134,0.3979591836734694,0.521505376344086,0.6044117647058824
"proline_Low, target_class_1, ash_Medium",magnesium_Low,0.23595505617977527,0.5617977528089888,0.20786516853932585,0.880952380952381,1.5680952380952382,1.0,0.0753061482136094,3.680898876404497,0.47416534181240066,0.3523809523809524,0.7283272283272285,0.6254761904761905
"malic_acid_Low, hue_Medium, total_phenols_Medium",flavanoids_Medium,0.29775280898876405,0.5056179775280899,0.23595505617977527,0.7924528301886792,1.5672955974842766,1.0,0.08540588309556874,2.3820224719101115,0.5154285714285713,0.41584158415841577,0.5801886792452828,0.6295597484276729
"proline_Low, hue_Low","alcalinity_of_ash_Medium, ash_Medium",0.28651685393258425,0.4887640449438202,0.21910112359550563,0.7647058823529412,1.5645706558485466,1.0,0.07906198712283805,2.172752808988765,0.5057540884312538,0.39393939393939403,0.5397543632837752,0.6064908722109534
"target_class_1, alcalinity_of_ash_Medium",proline_Low,0.2808988764044944,0.601123595505618,0.2640449438202247,0.9399999999999998,1.563738317757009,1.0,0.09519000126246682,6.647940074906349,0.5013297872340424,0.4272727272727272,0.849577464788732,0.689626168224299
"target_class_1, alcalinity_of_ash_Medium, color_intensity_Low",proline_Low,0.2808988764044944,0.601123595505618,0.2640449438202247,0.9399999999999998,1.563738317757009,1.0,0.09519000126246682,6.647940074906349,0.5013297872340424,0.4272727272727272,0.849577464788732,0.689626168224299
"proline_Low, color_intensity_Low, ash_Medium, target_class_1",magnesium_Low,0.2303370786516854,0.5617977528089888,0.20224719101123595,0.8780487804878048,1.5629268292682923,1.0,0.07284433783613178,3.5932584269662886,0.46796431467964306,0.34285714285714286,0.7217010631644776,0.6190243902439023
"proline_Low, malic_acid_Low, target_class_1",magnesium_Low,0.2752808988764045,0.5617977528089888,0.24157303370786518,0.8775510204081632,1.5620408163265305,1.0,0.08692084332786262,3.5786516853932575,0.4964845862628447,0.4056603773584906,0.7205651491365777,0.6537755102040816
target_class_0,proanthocyanins_Medium,0.33146067415730335,0.47752808988764045,0.24719101123595505,0.7457627118644068,1.561714855433699,1.0,0.08890922863274839,2.0550561797752813,0.5380061115355234,0.43999999999999995,0.5133952979770366,0.6317048853439681
"malic_acid_Low, color_intensity_Low, total_phenols_Medium",flavanoids_Medium,0.2640449438202247,0.5056179775280899,0.20786516853932585,0.7872340425531916,1.5569739952718678,1.0,0.07435929806842573,2.323595505617979,0.4860738601196618,0.37,0.5696324951644103,0.5991725768321514
"flavanoids_Low, magnesium_Low",proanthocyanins_Low,0.28651685393258425,0.46629213483146065,0.20786516853932585,0.7254901960784315,1.5558705409874796,1.0,0.07426461305390736,1.9442215088282513,0.5007448393275166,0.38144329896907225,0.4856553147574821,0.585636664304276
"proline_Low, malic_acid_Low, color_intensity_Low",magnesium_Low,0.2640449438202247,0.5617977528089888,0.2303370786516854,0.872340425531915,1.5527659574468087,1.0,0.08199722257290748,3.432584269662925,0.48370880655371445,0.3867924528301887,0.7086743044189856,0.6411702127659575
"hue_Medium, target_class_0",proanthocyanins_Medium,0.30337078651685395,0.47752808988764045,0.2247191011235955,0.7407407407407407,1.55119825708061,1.0,0.07985102891049109,2.0152487961476724,0.5100806451612903,0.40404040404040403,0.5037833532457187,0.6056644880174291
"flavanoids_Medium, target_class_0",hue_Medium,0.29213483146067415,0.5955056179775281,0.2696629213483146,0.9230769230769231,1.5500725689404935,1.0,0.09569498800656481,5.258426966292138,0.5013227513227513,0.4363636363636364,0.80982905982906,0.6879535558780842
"malic_acid_Low, alcalinity_of_ash_Low",hue_Medium,0.21910112359550563,0.5955056179775281,0.20224719101123595,0.923076923076923,1.5500725689404933,1.0,0.0717712410049236,5.258426966292131,0.4544364508393284,0.33027522935779813,0.8098290598290597,0.6313497822931785
"proanthocyanins_Medium, flavanoids_Medium, target_class_0",hue_Medium,0.21910112359550563,0.5955056179775281,0.20224719101123595,0.923076923076923,1.5500725689404933,1.0,0.0717712410049236,5.258426966292131,0.4544364508393284,0.33027522935779813,0.8098290598290597,0.6313497822931785
"hue_Medium, total_phenols_Medium",flavanoids_Medium,0.3595505617977528,0.5056179775280899,0.2808988764044944,0.7812500000000001,1.545138888888889,1.0,0.09910364852922612,2.260032102728733,0.5508771929824562,0.48076923076923084,0.5575284090909093,0.6684027777777779
"color_intensity_Low, total_phenols_Medium",flavanoids_Medium,0.3595505617977528,0.5056179775280899,0.2808988764044944,0.7812500000000001,1.545138888888889,1.0,0.09910364852922612,2.260032102728733,0.5508771929824562,0.48076923076923084,0.5575284090909093,0.6684027777777779
"hue_Medium, proanthocyanins_Medium",flavanoids_Medium,0.3595505617977528,0.5056179775280899,0.2808988764044944,0.7812500000000001,1.545138888888889,1.0,0.09910364852922612,2.260032102728733,0.5508771929824562,0.48076923076923084,0.5575284090909093,0.6684027777777779
"hue_Low, flavanoids_Low","alcalinity_of_ash_Medium, ash_Medium",0.2752808988764045,0.4887640449438202,0.20786516853932585,0.7551020408163266,1.5449214168425993,1.0,0.07331776290872366,2.0875468164794015,0.4866959983239054,0.3737373737373738,0.5209688270912762,0.5901946985690829
"proline_Low, flavanoids_Low, alcalinity_of_ash_Medium",proanthocyanins_Low,0.2808988764044944,0.46629213483146065,0.20224719101123595,0.72,1.5440963855421688,1.0,0.07126625426082564,1.9060995184590692,0.4900173611111111,0.37113402061855677,0.4753684210526315,0.5768674698795181
"hue_Low, alcalinity_of_ash_Medium",proanthocyanins_Low,0.2808988764044944,0.46629213483146065,0.20224719101123595,0.72,1.5440963855421688,1.0,0.07126625426082564,1.9060995184590692,0.4900173611111111,0.37113402061855677,0.4753684210526315,0.5768674698795181
"hue_Low, ash_Medium",proanthocyanins_Low,0.2808988764044944,0.46629213483146065,0.20224719101123595,0.72,1.5440963855421688,1.0,0.07126625426082564,1.9060995184590692,0.4900173611111111,0.37113402061855677,0.4753684210526315,0.5768674698795181
alcohol_Low,proline_Low,0.2303370786516854,0.601123595505618,0.21348314606741572,0.9268292682926829,1.5418281285616593,1.0,0.07502209317005426,5.451310861423216,0.45658855167114853,0.3454545454545454,0.8165578838886979,0.6409847276042854
"nonflavanoid_phenols_Low, ash_Medium",flavanoids_Medium,0.30337078651685395,0.5056179775280899,0.23595505617977527,0.7777777777777777,1.5382716049382714,1.0,0.08256533266001764,2.2247191011235943,0.5023041474654376,0.411764705882353,0.5505050505050503,0.6222222222222221
"alcalinity_of_ash_Medium, total_phenols_Medium",flavanoids_Medium,0.30337078651685395,0.5056179775280899,0.23595505617977527,0.7777777777777777,1.5382716049382714,1.0,0.08256533266001764,2.2247191011235943,0.5023041474654376,0.411764705882353,0.5505050505050503,0.6222222222222221
target_class_0,hue_Medium,0.33146067415730335,0.5955056179775281,0.30337078651685395,0.9152542372881357,1.5369363607291335,1.0,0.10598409291756095,4.773033707865175,0.5225645813881109,0.4864864864864866,0.7904896421845578,0.7123440997761433
"ash_Medium, color_intensity_Low, alcalinity_of_ash_Medium, target_class_1",proline_Low,0.21910112359550563,0.601123595505618,0.20224719101123595,0.923076923076923,1.535585909417685,1.0,0.0705403358161848,5.185393258426962,0.4466426858513187,0.32727272727272727,0.8071505958829901,0.629762760603882
"target_class_1, alcalinity_of_ash_Medium, ash_Medium",proline_Low,0.21910112359550563,0.601123595505618,0.20224719101123595,0.923076923076923,1.535585909417685,1.0,0.0705403358161848,5.185393258426962,0.4466426858513187,0.32727272727272727,0.8071505958829901,0.629762760603882
"malic_acid_Low, nonflavanoid_phenols_Low",flavanoids_Medium,0.3258426966292135,0.5056179775280899,0.25280898876404495,0.7758620689655172,1.5344827586206895,1.0,0.08805706350208306,2.205704407951599,0.5166666666666666,0.4368932038834952,0.5466300940438872,0.6379310344827587
"hue_Medium, magnesium_Low",total_phenols_Medium,0.30337078651685395,0.48314606741573035,0.2247191011235955,0.7407407407407407,1.533161068044789,1.0,0.07814669864916043,1.993579454253611,0.4991935483870967,0.39999999999999997,0.4983896940418679,0.602928509905254
"total_phenols_Medium, ash_Medium",flavanoids_Medium,0.3202247191011236,0.5056179775280899,0.24719101123595505,0.7719298245614035,1.5267056530214425,1.0,0.08527963640954422,2.1676750216076055,0.5075131480090156,0.4271844660194175,0.538676236044657,0.6304093567251462
"proanthocyanins_Medium, target_class_0",hue_Medium,0.24719101123595505,0.5955056179775281,0.2247191011235955,0.9090909090909091,1.5265866209262435,1.0,0.07751546521903799,4.4494382022471894,0.4582089552238805,0.3636363636363636,0.7752525252525252,0.6432246998284734
