antecedents_str,consequents_str,support,confidence,lift
"petal width (cm)_Low, target_setosa","petal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
"petal length (cm)_Low, target_setosa","petal width (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal width (cm)_Low,"petal length (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
petal length (cm)_Low,"petal width (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
target_setosa,"petal length (cm)_Low, petal width (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal width (cm)_Low,"petal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal length (cm)_Low,"petal width (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
target_setosa,"petal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal length (cm)_Low,"sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
petal width (cm)_Low,"sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
target_setosa,"petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal width (cm)_Low,"sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
target_setosa,"petal width (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
"petal length (cm)_Low, target_setosa","petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
"petal width (cm)_Low, target_setosa","petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
"petal length (cm)_Low, petal width (cm)_Low","sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
target_setosa,"petal length (cm)_Low, petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal length (cm)_Low,"petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
petal width (cm)_Low,"petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
petal width (cm)_Low,"petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal length (cm)_Low,"petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
target_versicolor,"petal length (cm)_Medium, petal width (cm)_Medium, sepal length (cm)_Medium",0.22,0.66,3.0
"petal length (cm)_High, target_virginica",petal width (cm)_High,0.26666666666666666,0.9090909090909091,2.964426877470356
petal width (cm)_High,"petal length (cm)_High, target_virginica",0.26666666666666666,0.8695652173913044,2.964426877470356
"sepal length (cm)_Medium, target_virginica",petal width (cm)_High,0.19333333333333333,0.9062499999999999,2.9551630434782608
petal width (cm)_High,"sepal length (cm)_Medium, target_virginica",0.19333333333333333,0.6304347826086957,2.9551630434782608
"petal length (cm)_Medium, petal width (cm)_Medium",target_versicolor,0.31333333333333335,0.9791666666666667,2.9375000000000004
target_versicolor,"petal length (cm)_Medium, petal width (cm)_Medium",0.31333333333333335,0.9400000000000001,2.9375
petal width (cm)_High,target_virginica,0.3,0.9782608695652174,2.9347826086956523
target_virginica,petal width (cm)_High,0.3,0.9,2.9347826086956523
"petal width (cm)_High, sepal width (cm)_Medium",petal length (cm)_High,0.17333333333333334,0.896551724137931,2.923538230884558
"sepal length (cm)_Low, sepal width (cm)_Medium","petal length (cm)_Low, target_setosa",0.24,0.9729729729729729,2.918918918918919
"sepal length (cm)_Low, sepal width (cm)_Medium",petal length (cm)_Low,0.24,0.9729729729729729,2.918918918918919
"sepal length (cm)_Low, sepal width (cm)_Medium","petal width (cm)_Low, target_setosa",0.24,0.9729729729729729,2.918918918918919
"sepal length (cm)_Low, sepal width (cm)_Medium",petal width (cm)_Low,0.24,0.9729729729729729,2.918918918918919
"sepal length (cm)_Low, sepal width (cm)_Medium",target_setosa,0.24,0.9729729729729729,2.918918918918919
